id,name,description,invoice_label,amount,amount_type,type_tax_use,tax_group_id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id,description@es,invoice_label@es
"tax_iva0_sale","IVA 0% Exento","Exento (ventas)","Exento","0.0","percent","sale","tax_group_iva_0","base","invoice","","Exento (ventas)","Exento"
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","",""
"tax_iva16_sale","IVA 16%","IVA (16%) Ventas","IVA 16%","16.0","percent","sale","tax_group_iva_16","base","invoice","","IVA (16%) Ventas","IVA 16%"
"","","","","","","","","tax","invoice","account_2172003","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_2172003","",""
"tax_iva8_sale","IVA 8%","IVA (8%) Ventas","IVA 8%","8.0","percent","sale","tax_group_iva_8","base","invoice","","IVA (8%) Ventas","IVA 8%"
"","","","","","","","","tax","invoice","account_2172003","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_2172003","",""
"tax_iva31_sale","IVA 31%","IVA (31%) Ventas","IVA 31%","31.0","percent","sale","tax_group_iva_31","base","invoice","","IVA (31%) Ventas","IVA 31%"
"","","","","","","","","tax","invoice","account_2172003","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_2172003","",""
"tax_iva0_purchase","IVA 0% Exento","Exento (compras)","Exento","0.0","percent","purchase","tax_group_iva_0","base","invoice","","Exento (compras)","Exento"
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","",""
"tax_iva16_purchase","IVA 16%","IVA (16%) Compras","IVA 16%","16.0","percent","purchase","tax_group_iva_16","base","invoice","","IVA (16%) Compras","IVA 16%"
"","","","","","","","","tax","invoice","account_1151004","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_1151004","",""
"tax_iva8_purchase","IVA 8%","IVA (8%) Compras","IVA 8%","8.0","percent","purchase","tax_group_iva_8","base","invoice","","IVA (8%) Compras","IVA 8%"
"","","","","","","","","tax","invoice","account_1151004","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_1151004","",""
"tax_iva31_purchase","IVA 31%","IVA (31%) Compras","IVA 31%","31.0","percent","purchase","tax_group_iva_31","base","invoice","","IVA (31%) Compras","IVA 31%"
"","","","","","","","","tax","invoice","account_1151004","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_1151004","",""
